City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,acajutla,13.5928,-89.8275,31.13,62,80,3.14,SV,1694970128
261,sumbe,-11.2061,13.8437,22.27,87,85,2.12,AO,1694970128
262,kijang,35.2442,129.2139,24.07,89,100,1.16,KR,1694970128
263,ceres,37.5949,-120.9577,22.05,74,0,3.6,US,1694970128
264,port blair,11.6667,92.75,26.02,90,100,6.86,IN,1694970129
265,juba,4.8517,31.5825,25.21,71,78,2.27,SS,1694969549
266,nioki,-2.7167,17.6833,25.45,83,68,2.12,CD,1694970131
267,la punta,-33.1837,-66.3127,17.85,26,45,10.16,AR,1694970131
268,mhamid,29.82,-5.72,25.27,49,100,2.19,MA,1694970131
269,tazovsky,67.4667,78.7,7.37,83,100,8.62,RU,1694970090
270,abomey,7.1829,1.9912,25.67,86,100,2.38,BJ,1694970132
271,namibe,-15.1961,12.1522,19.61,87,61,3.71,AO,1694970132
272,guangyuan,32.442,105.823,21.44,96,100,1.89,CN,1694970132
273,praia da vitoria,38.7333,-27.0667,20.63,66,100,6.31,PT,1694970132
274,kerikeri,-35.2268,173.9474,10.51,91,6,0.89,NZ,1694970133
275,melfort,52.8667,-104.6177,22.66,29,3,6.32,CA,1694970133
276,roma,43.2128,-75.4557,18.86,84,100,1.41,US,1694969716
277,ambalangoda,6.2355,80.0538,25.86,86,100,3.39,LK,1694970133
278,galliano,29.4422,-90.2992,31.0,48,0,3.6,US,1694970133
279,uturoa,-16.7333,-151.4333,25.64,81,7,4.17,PF,1694970134
280,laguna,38.421,-121.4238,21.35,70,0,4.63,US,1694970134
281,lubango,-14.9172,13.4925,21.58,41,4,3.23,AO,1694970080
282,sao joao da barra,-21.6403,-41.0511,24.34,80,16,8.19,BR,1694970134
283,itumba,-9.4,33.1833,20.16,39,9,2.44,TZ,1694970134
284,bayeux,-7.125,-34.9322,28.7,58,52,7.18,BR,1694970075
285,la ronge,55.1001,-105.2842,18.44,41,53,3.02,CA,1694970135
286,tanout,14.9709,8.8879,35.89,25,29,1.61,NE,1694970135
